,open_covid_region_code,date,hospitalized_new
752,FR-24,2020-04-16,37.0
753,FR-24,2020-04-23,5.0
754,FR-24,2020-04-30,5.0
755,FR-24,2020-05-07,3.0
756,FR-24,2020-05-14,2.0
757,FR-24,2020-05-21,4.0
758,FR-24,2020-05-28,1.0
759,FR-24,2020-06-04,2.0
760,FR-24,2020-06-11,0.0
761,FR-24,2020-06-18,1.0
762,FR-24,2020-06-25,0.0
763,FR-24,2020-07-02,1.0
764,FR-24,2020-07-09,0.0
765,FR-24,2020-07-16,0.0
766,FR-24,2020-07-23,0.0
767,FR-24,2020-07-30,0.0
768,FR-24,2020-08-06,0.0
769,FR-24,2020-08-13,0.0
770,FR-24,2020-08-20,0.0
771,FR-24,2020-08-27,4.0
772,FR-24,2020-09-03,0.0
773,FR-24,2020-09-10,2.0
774,FR-24,2020-09-17,13.0
775,FR-24,2020-09-24,6.0
776,FR-24,2020-10-01,0.0
777,FR-25,2020-03-19,103.0
778,FR-25,2020-03-26,190.0
779,FR-25,2020-04-02,154.0
780,FR-25,2020-04-09,136.0
781,FR-25,2020-04-16,53.0
782,FR-25,2020-04-23,46.0
783,FR-25,2020-04-30,54.0
784,FR-25,2020-05-07,30.0
785,FR-25,2020-05-14,7.0
786,FR-25,2020-05-21,10.0
787,FR-25,2020-05-28,5.0
788,FR-25,2020-06-04,1.0
789,FR-25,2020-06-11,2.0
790,FR-25,2020-06-18,0.0
791,FR-25,2020-06-25,0.0
792,FR-25,2020-07-02,2.0
793,FR-25,2020-07-09,0.0
794,FR-25,2020-07-16,0.0
795,FR-25,2020-07-23,0.0
796,FR-25,2020-07-30,1.0
797,FR-25,2020-08-06,0.0
798,FR-25,2020-08-13,2.0
799,FR-25,2020-08-20,2.0
800,FR-25,2020-08-27,2.0
801,FR-25,2020-09-03,4.0
802,FR-25,2020-09-10,5.0
803,FR-25,2020-09-17,6.0
804,FR-25,2020-09-24,11.0
805,FR-25,2020-10-01,2.0
806,FR-26,2020-03-19,98.0
807,FR-26,2020-03-26,242.0
808,FR-26,2020-04-02,153.0
809,FR-26,2020-04-09,86.0
810,FR-26,2020-04-16,53.0
811,FR-26,2020-04-23,33.0
812,FR-26,2020-04-30,18.0
813,FR-26,2020-05-07,9.0
